=== Benchmark Results ===
Date: Thu Jan  8 08:27:38 UTC 2026

Dataset    Index                Build(s)     QPS          Recall     AvgNbrs   
-------    -----                --------     ---          ------     -------   

# cohere (768 dim, COSINE)
cohere     GPU_CAGRA_ef100      22.8954      1481.94      0.9089     64.00     
cohere     GPU_CAGRA_ef120      3.6988       1259.66      0.9279     64.00     
cohere     GPU_CAGRA_ef140      3.6838       1075.60      0.9427     64.00     
cohere     GPU_CAGRA_ef160      3.6976       974.17       0.9533     64.00     
cohere     GPU_CAGRA_ef180      3.6939       877.37       0.9609     64.00     
cohere     GPU_CAGRA_ef200      3.6862       794.32       0.9669     64.00     
cohere     GPU_CAGRA_ef220      3.6934       712.85       0.9719     64.00     
cohere     GPU_CAGRA_ef240      3.7387       666.79       0.9758     64.00     
cohere     GPU_CAGRA_ef260      3.7629       615.84       0.9788     64.00     
cohere     GPU_CAGRA_ef280      3.7390       564.00       0.9816     64.00     
cohere     GPU_CAGRA_ef300      3.7278       538.90       0.9837     64.00     
cohere     GPU_CAGRA_ef100      35.6799      1592.42      0.9362     64.00     
cohere     GPU_CAGRA_ef120      3.5661       1359.78      0.9509     64.00     
cohere     GPU_CAGRA_ef140      3.5741       1172.22      0.9611     64.00     
cohere     GPU_CAGRA_ef160      3.5426       1047.17      0.9689     64.00     
cohere     GPU_CAGRA_ef180      3.5953       955.32       0.9737     64.00     
cohere     GPU_CAGRA_ef200      3.5578       867.98       0.9780     64.00     
cohere     GPU_CAGRA_ef220      3.5585       794.66       0.9812     64.00     
cohere     GPU_CAGRA_ef240      3.5819       733.54       0.9840     64.00     
cohere     GPU_CAGRA_ef260      3.5834       678.71       0.9860     64.00     
cohere     GPU_CAGRA_ef280      3.5934       640.36       0.9879     64.00     
cohere     GPU_CAGRA_ef300      3.6119       603.81       0.9891     64.00     
cohere     GPU_CAGRA_ef100      48.9940      1557.22      0.9452     64.00     
cohere     GPU_CAGRA_ef120      3.6421       1391.43      0.9578     64.00     
cohere     GPU_CAGRA_ef140      3.6522       1219.17      0.9667     64.00     
cohere     GPU_CAGRA_ef160      3.6327       1076.08      0.9735     64.00     
cohere     GPU_CAGRA_ef180      3.6583       945.33       0.9779     64.00     
cohere     GPU_CAGRA_ef200      3.6383       885.39       0.9813     64.00     
cohere     GPU_CAGRA_ef220      3.6322       809.60       0.9839     64.00     
cohere     GPU_CAGRA_ef240      3.6867       737.95       0.9861     64.00     
cohere     GPU_CAGRA_ef260      3.7157       692.78       0.9878     64.00     
cohere     GPU_CAGRA_ef280      3.7192       632.38       0.9893     64.00     
cohere     GPU_CAGRA_ef300      5.6561       618.11       0.9905     64.00     
cohere     GPU_CAGRA_ef100      69.4610      1578.91      0.9526     64.00     
cohere     GPU_CAGRA_ef120      3.7389       1360.31      0.9636     64.00     
cohere     GPU_CAGRA_ef140      3.7507       1199.13      0.9716     64.00     
cohere     GPU_CAGRA_ef160      3.6630       1079.12      0.9775     64.00     
cohere     GPU_CAGRA_ef180      3.7298       989.51       0.9814     64.00     
cohere     GPU_CAGRA_ef200      3.7086       902.87       0.9846     64.00     
cohere     GPU_CAGRA_ef220      3.7209       826.64       0.9869     64.00     
