=== Benchmark Results ===
Date: Generated from output.txt

Dataset    Index                          Build(s)     QPS          Recall     AvgNbrs   
-------    -----                          --------     ---          ------     -------   

# gist (768 dim, L2)
gist       GPU_CAGRA_iter20_ef100         3.5129       1482.93      0.8834     64.00     
gist       GPU_CAGRA_iter20_ef120         3.4851       1256.17      0.9092     64.00     
gist       GPU_CAGRA_iter20_ef140         3.4970       1083.13      0.9276     64.00     
gist       GPU_CAGRA_iter20_ef160         3.5091       958.61       0.9406     64.00     
gist       GPU_CAGRA_iter20_ef180         3.4989       862.05       0.9509     64.00     
gist       GPU_CAGRA_iter20_ef200         3.4854       818.05       0.9589     64.00     
gist       GPU_CAGRA_iter20_ef220         3.4863       752.14       0.9651     64.00     
gist       GPU_CAGRA_iter20_ef240         3.5046       671.74       0.9698     64.00     
gist       GPU_CAGRA_iter20_ef260         3.7736       611.96       0.9741     64.00     
gist       GPU_CAGRA_iter20_ef280         3.5898       606.02       0.9776     64.00     
gist       GPU_CAGRA_iter20_ef300         3.5149       573.51       0.9804     64.00     
gist       GPU_CAGRA_iter40_ef100         15.3371      1543.16      0.8964     64.00     
gist       GPU_CAGRA_iter40_ef120         3.4431       1320.35      0.9189     64.00     
gist       GPU_CAGRA_iter40_ef140         3.4125       1153.11      0.9354     64.00     
gist       GPU_CAGRA_iter40_ef160         3.4215       1004.48      0.9473     64.00     
gist       GPU_CAGRA_iter40_ef180         3.4290       931.39       0.9564     64.00     
gist       GPU_CAGRA_iter40_ef200         3.4116       855.68       0.9633     64.00     
gist       GPU_CAGRA_iter40_ef220         3.4077       792.14       0.9687     64.00     
gist       GPU_CAGRA_iter40_ef240         3.4150       725.57       0.9733     64.00     
gist       GPU_CAGRA_iter40_ef260         3.4218       689.43       0.9770     64.00     
gist       GPU_CAGRA_iter40_ef280         3.4071       621.49       0.9802     64.00     
gist       GPU_CAGRA_iter40_ef300         3.4084       613.51       0.9828     64.00     
gist       GPU_CAGRA_iter60_ef100         17.5205      1552.94      0.8983     64.00     
gist       GPU_CAGRA_iter60_ef120         3.4306       1327.78      0.9208     64.00     
gist       GPU_CAGRA_iter60_ef140         3.4437       1167.70      0.9367     64.00     
gist       GPU_CAGRA_iter60_ef160         3.4548       1021.34      0.9484     64.00     
gist       GPU_CAGRA_iter60_ef180         3.4467       931.70       0.9572     64.00     
gist       GPU_CAGRA_iter60_ef200         3.3535       856.54       0.9640     64.00     
gist       GPU_CAGRA_iter60_ef220         3.4518       801.90       0.9692     64.00     
gist       GPU_CAGRA_iter60_ef240         3.4305       718.39       0.9739     64.00     
gist       GPU_CAGRA_iter60_ef260         3.4540       696.38       0.9776     64.00     
gist       GPU_CAGRA_iter60_ef280         3.4354       635.38       0.9806     64.00     
gist       GPU_CAGRA_iter60_ef300         3.4380       618.81       0.9831     64.00     
gist       GPU_CAGRA_iter80_ef100         17.8439      1571.24      0.8995     64.00     
gist       GPU_CAGRA_iter80_ef120         4.1693       1344.23      0.9214     64.00     
gist       GPU_CAGRA_iter80_ef140         4.9726       1182.67      0.9376     64.00     
gist       GPU_CAGRA_iter80_ef160         3.4711       1021.92      0.9487     64.00     
